,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
115,hypergraph_not_selfdual_2025_09_29_18_46_29_9_0,10000,200,3.191,0.0442,0.032506537522353954
116,hypergraph_not_selfdual_2025_09_29_18_45_29_9_0,10000,5,1.1793,0.0002,2.7151670472557927
117,hypergraph_not_selfdual_2025_09_29_18_47_00_9_1,10000,20,1.47155,0.0005,1.3550087722854742
118,hypergraph_not_selfdual_2025_09_29_18_45_28_8_1,10000,100,2.15615,0.0043,0.23042032727623665
119,hypergraph_not_selfdual_2025_09_29_18_45_30_9_1,10000,5,1.25205,0.0088,0.06523290889514856
120,hypergraph_not_selfdual_2025_09_29_18_46_25_7_0,10000,200,2.95395,0.9999,0.0001476974999999982
121,hypergraph_not_selfdual_2025_09_29_18_45_55_7_0,10000,5,1.1485,0.0239,0.021864347855636245
122,hypergraph_not_selfdual_2025_09_29_18_45_48_8_1,10000,20,1.32745,0.0022,0.2775639203892665
123,hypergraph_not_selfdual_2025_09_29_18_46_28_8_1,10000,20,1.3716,0.0009,0.7015120663785047
124,hypergraph_not_selfdual_2025_09_29_18_46_56_7_1,10000,100,2.0687,0.0135,0.07009084860472042
125,hypergraph_not_selfdual_2025_09_29_18_46_10_9_1,10000,20,1.42925,0.0184,0.03544129466293232
126,hypergraph_not_selfdual_2025_09_29_18_46_11_5_0,10000,20,1.22905,0.1893,0.002697064588970482
127,hypergraph_not_selfdual_2025_09_29_18_45_23_6_0,10000,100,2.1013,0.0087,0.11074354639372887
128,hypergraph_not_selfdual_2025_09_29_18_46_25_7_0,10000,5,1.039,0.9998,5.6177800781409215e-05
129,hypergraph_not_selfdual_2025_09_29_18_46_03_6_0,10000,100,2.1014,0.0374,0.02538820696824974
130,hypergraph_not_selfdual_2025_09_29_18_46_40_9_1,10000,5,1.2853,0.0007,0.8452790484911469
131,hypergraph_not_selfdual_2025_09_29_18_46_40_9_1,10000,200,3.2801,0.0,inf
132,hypergraph_not_selfdual_2025_09_29_18_46_59_9_0,10000,5,1.2641,0.0008,0.7273833454069811
133,hypergraph_not_selfdual_2025_09_29_18_46_15_7_0,10000,200,2.9688,1.0,0.00029687999999999996
134,hypergraph_not_selfdual_2025_09_29_18_46_47_8_0,10000,100,2.06365,0.0021,0.4520703488425692
135,hypergraph_not_selfdual_2025_09_29_18_46_55_7_0,10000,5,1.13865,0.0151,0.034463489251244143
136,hypergraph_not_selfdual_2025_09_29_18_46_30_9_1,10000,5,1.2666,0.0004,1.4579354745184925
137,hypergraph_not_selfdual_2025_09_29_18_45_27_8_0,10000,20,1.2981,0.0119,0.04993555899591273
138,hypergraph_not_selfdual_2025_09_29_18_46_47_8_0,10000,20,1.361,0.0026,0.24074942923666956
139,hypergraph_not_selfdual_2025_09_29_18_46_29_9_0,10000,5,1.2412,0.001,0.5713078789664571
140,hypergraph_not_selfdual_2025_09_29_18_45_39_9_0,10000,200,3.21265,0.0015,0.9855800747939444
141,hypergraph_not_selfdual_2025_09_29_18_45_31_5_0,10000,200,2.9945,0.1965,0.006303273733731238
142,hypergraph_not_selfdual_2025_09_29_18_46_19_9_0,10000,200,3.1995,0.0,inf
143,hypergraph_not_selfdual_2025_09_29_18_45_56_7_1,10000,20,1.2976,0.0136,0.043639276092166876
144,hypergraph_not_selfdual_2025_09_29_18_46_11_5_0,10000,200,3.0165,0.2253,0.005441682605233752
145,hypergraph_not_selfdual_2025_09_29_18_46_36_7_1,10000,20,1.33655,0.0153,0.03992047815348554
146,hypergraph_not_selfdual_2025_09_29_18_46_38_8_1,10000,100,2.12875,0.0092,0.10606621293587468
147,hypergraph_not_selfdual_2025_09_29_18_45_35_7_0,10000,200,3.0935,0.0157,0.09002526869953438
148,hypergraph_not_selfdual_2025_09_29_18_45_46_7_1,10000,100,2.06995,0.0169,0.05592718236196609
149,hypergraph_not_selfdual_2025_09_29_18_45_33_6_0,10000,20,1.278,0.0249,0.023340667644279677
150,hypergraph_not_selfdual_2025_09_29_18_46_53_6_0,10000,20,1.2569,0.0485,0.011642702309841147
151,hypergraph_not_selfdual_2025_09_29_18_45_59_9_0,10000,5,1.2366,0.0004,1.4234036063394664
152,hypergraph_not_selfdual_2025_09_29_18_45_40_9_1,10000,5,1.2116,0.0014,0.3982655391734344
153,hypergraph_not_selfdual_2025_09_29_18_45_25_7_0,10000,5,1.12835,0.0216,0.023795926409011223
154,hypergraph_not_selfdual_2025_09_29_18_46_33_6_0,10000,100,2.0585,0.0338,0.02756987302987354
155,hypergraph_not_selfdual_2025_09_29_18_47_00_9_1,10000,100,2.2812,0.0,inf
156,hypergraph_not_selfdual_2025_09_29_18_45_50_9_1,10000,200,3.2514,0.0025,0.5981810388584814
157,hypergraph_not_selfdual_2025_09_29_18_45_47_8_0,10000,200,3.15175,0.0016,0.906420659919209
158,hypergraph_not_selfdual_2025_09_29_18_46_03_6_0,10000,20,1.301,0.0248,0.02385775411449919
159,hypergraph_not_selfdual_2025_09_29_18_45_59_9_0,10000,20,1.4301,0.0001,6.585524584799659
160,hypergraph_not_selfdual_2025_09_29_18_46_31_5_0,10000,5,1.0528,0.221,0.0019413153654866796
161,hypergraph_not_selfdual_2025_09_29_18_46_39_9_0,10000,20,1.44875,0.0008,0.8336339068573405
162,hypergraph_not_selfdual_2025_09_29_18_46_26_7_1,10000,5,1.14085,0.0131,0.03984213993537634
163,hypergraph_not_selfdual_2025_09_29_18_46_18_8_1,10000,200,3.09185,0.0007,2.0333587692191335
164,hypergraph_not_selfdual_2025_09_29_18_46_31_5_0,10000,100,2.0272,0.1946,0.004313724981103248
165,hypergraph_not_selfdual_2025_09_29_18_46_39_9_0,10000,100,2.1965,0.0,inf
166,hypergraph_not_selfdual_2025_09_29_18_46_37_8_0,10000,5,1.1123,0.0042,0.12170396089328438
167,hypergraph_not_selfdual_2025_09_29_18_45_38_8_1,10000,200,3.1665,0.0092,0.15777271321735628
168,hypergraph_not_selfdual_2025_09_29_18_46_35_7_0,10000,100,1.9791,0.9998,0.00010700816701298076
169,hypergraph_not_selfdual_2025_09_29_18_45_33_6_0,10000,5,1.1065,0.0655,0.007521916303372449
170,hypergraph_not_selfdual_2025_09_29_18_46_17_8_0,10000,20,1.3234,0.0059,0.1029912842398179
171,hypergraph_not_selfdual_2025_09_29_18_46_46_7_1,10000,200,3.11265,0.0051,0.2803470472308975
172,hypergraph_not_selfdual_2025_09_29_18_46_08_8_1,10000,5,1.1906,0.005,0.10938393765980674
173,hypergraph_not_selfdual_2025_09_29_18_45_56_7_1,10000,5,1.138,0.0318,0.01621669183084854
174,hypergraph_not_selfdual_2025_09_29_18_45_41_5_0,10000,5,1.05585,0.2065,0.002102175695508301
175,hypergraph_not_selfdual_2025_09_29_18_45_33_6_0,10000,200,3.0761,0.0592,0.023213491557527218
176,hypergraph_not_selfdual_2025_09_29_18_46_13_6_0,10000,200,3.1091,0.0299,0.04716655033063553
177,hypergraph_not_selfdual_2025_09_29_18_46_43_6_0,10000,5,1.1447,0.0171,0.030563374823389906
178,hypergraph_not_selfdual_2025_09_29_18_45_47_8_0,10000,5,1.1773,0.0061,0.08860842480132747
179,hypergraph_not_selfdual_2025_09_29_18_46_50_9_1,10000,100,2.1778,0.0012,0.8352600785872508
180,hypergraph_not_selfdual_2025_09_29_18_45_36_7_1,10000,20,1.3309,0.0158,0.038484007677748455
181,hypergraph_not_selfdual_2025_09_29_18_46_56_7_1,10000,20,1.34435,0.0125,0.049217487334797284
