,Example name,#reads,Annealing time $(\mu s)$,Annealing sampling time $(s)$,Success prob,TTS
541,hypergraph_not_selfdual_2026_02_26_08_13_29_12_1,15000,5,3.57512,0.0008666666666666666,1.2659154299031254
542,hypergraph_not_selfdual_2026_02_26_08_12_34_12_1,15000,100,4.99838,0.0012,1.2780320420023092
543,hypergraph_not_selfdual_2026_02_26_08_12_43_10_2,15000,5,2.6537,0.0007333333333333333,1.1105689669672767
544,hypergraph_not_selfdual_2026_02_26_08_12_39_11_2,15000,100,4.3832,0.0002,6.727787784579323
545,hypergraph_not_selfdual_2026_02_26_08_13_15_11_1,15000,5,2.98964,0.0004,2.2941745418387636
546,hypergraph_not_selfdual_2026_02_26_08_12_27_11_2,15000,200,5.863339999999999,0.0,inf
547,hypergraph_not_selfdual_2026_02_26_08_12_01_10_2,15000,5,2.7295399999999996,0.0026666666666666666,0.31383071939134555
548,hypergraph_not_selfdual_2026_02_26_08_12_25_10_2,15000,100,3.99704,0.0017333333333333333,0.7073496942862201
549,hypergraph_not_selfdual_2026_02_26_08_12_58_12_1,15000,200,6.54112,6.666666666666667e-05,30.121966696789812
550,hypergraph_not_selfdual_2026_02_26_08_12_37_10_2,15000,5,2.3997,0.0007333333333333333,1.0042703960626198
551,hypergraph_not_selfdual_2026_02_26_08_13_25_10_1,15000,200,5.4721,0.0012666666666666666,1.3254730754645343
552,hypergraph_not_selfdual_2026_02_26_08_12_39_11_2,15000,200,5.8500200000000016,0.002266666666666667,0.7914645223873693
553,hypergraph_not_selfdual_2026_02_26_08_13_29_12_1,15000,100,5.02122,0.0,inf
554,hypergraph_not_selfdual_2026_02_26_08_12_15_11_2,15000,20,3.0753399999999997,0.0004,2.359938566348598
555,hypergraph_not_selfdual_2026_02_26_08_12_48_10_1,15000,5,2.26762,0.0017333333333333333,0.4012970382476328
556,hypergraph_not_selfdual_2026_02_26_08_12_36_10_1,15000,20,2.90564,0.0003333333333333333,2.675747282836176
557,hypergraph_not_selfdual_2026_02_26_08_13_26_10_2,15000,200,5.61558,0.00046666666666666666,3.6935238514136324
558,hypergraph_not_selfdual_2026_02_26_08_13_21_11_1,15000,200,5.87668,6.666666666666667e-05,27.06220941485415
559,hypergraph_not_selfdual_2026_02_26_08_12_33_11_2,15000,100,4.46204,6.666666666666667e-05,20.547768620625217
560,hypergraph_not_selfdual_2026_02_26_08_12_51_11_2,15000,5,3.1104600000000002,0.0007333333333333333,1.301722255338974
561,hypergraph_not_selfdual_2026_02_26_08_13_21_11_1,15000,100,4.31068,0.00013333333333333334,9.92504578012902
562,hypergraph_not_selfdual_2026_02_26_08_13_06_10_1,15000,20,2.44968,0.0012,0.6263568461485953
563,hypergraph_not_selfdual_2026_02_26_08_12_20_11_1,15000,200,5.873340000000001,0.0,inf
564,hypergraph_not_selfdual_2026_02_26_08_12_55_10_2,15000,200,5.577419999999999,0.0002666666666666667,6.4203858710172925
565,hypergraph_not_selfdual_2026_02_26_08_12_45_11_2,15000,200,5.84026,0.00013333333333333334,13.446799082246029
566,hypergraph_not_selfdual_2026_02_26_08_13_21_11_1,15000,5,3.06894,0.00046666666666666666,2.0185275765917954
567,hypergraph_not_selfdual_2026_02_26_08_13_01_10_2,15000,5,2.40928,0.0014,0.5279702862439594
568,hypergraph_not_selfdual_2026_02_26_08_13_00_10_1,15000,100,3.7855600000000003,0.0023333333333333335,0.4975086130805704
569,hypergraph_not_selfdual_2026_02_26_08_13_23_12_1,15000,5,3.61554,0.0008666666666666666,1.2802277611470234
570,hypergraph_not_selfdual_2026_02_26_08_12_18_10_1,15000,5,2.12898,0.0009333333333333333,0.6999813688148557
571,hypergraph_not_selfdual_2026_02_26_08_12_43_10_2,15000,100,3.8432399999999998,0.001,1.1793282268552188
572,hypergraph_not_selfdual_2026_02_26_08_13_15_11_1,15000,20,2.93596,0.0,inf
573,hypergraph_not_selfdual_2026_02_26_08_13_02_11_1,15000,200,5.9201999999999995,0.0002666666666666667,6.814973309092121
574,hypergraph_not_selfdual_2026_02_26_08_12_39_11_2,15000,20,3.4220399999999995,0.0006,1.750483154152038
575,hypergraph_not_selfdual_2026_02_26_08_12_37_10_2,15000,100,3.99034,0.0010666666666666667,1.147899526216488
576,hypergraph_not_selfdual_2026_02_26_08_11_54_10_1,15000,20,2.59584,0.0016666666666666668,0.4777728120777876
577,hypergraph_not_selfdual_2026_02_26_08_13_09_11_2,15000,100,4.27522,0.0028666666666666667,0.45720657088343963
578,hypergraph_not_selfdual_2026_02_26_08_12_27_11_2,15000,5,2.7721,0.0012,0.708796174687519
579,hypergraph_not_selfdual_2026_02_26_08_12_08_11_1,15000,100,4.446479999999999,0.0,inf
580,hypergraph_not_selfdual_2026_02_26_08_13_19_10_1,15000,20,2.53288,0.0021333333333333334,0.3641217833060046
581,hypergraph_not_selfdual_2026_02_26_08_13_04_12_1,15000,100,5.00456,0.0,inf
582,hypergraph_not_selfdual_2026_02_26_08_13_29_12_1,15000,200,6.42232,0.004,0.49194475536876275
583,hypergraph_not_selfdual_2026_02_26_08_12_38_11_1,15000,20,3.01742,0.0010666666666666667,0.8680200154363175
584,hypergraph_not_selfdual_2026_02_26_08_11_58_12_1,15000,5,3.58288,0.0008,1.374430947230844
585,hypergraph_not_selfdual_2026_02_26_08_13_02_11_1,15000,20,3.1258399999999997,6.666666666666667e-05,14.394545334666455
586,hypergraph_not_selfdual_2026_02_26_08_12_19_10_2,15000,5,2.4637200000000004,0.006533333333333334,0.11539537031621219
587,hypergraph_not_selfdual_2026_02_26_08_12_28_12_1,15000,200,6.572920000000001,0.0004,5.043893488695243
588,hypergraph_not_selfdual_2026_02_26_08_13_02_11_1,15000,5,3.0387999999999997,0.0002,4.664263898471355
589,hypergraph_not_selfdual_2026_02_26_08_13_06_10_1,15000,200,5.10374,0.00013333333333333334,11.75101217206466
590,hypergraph_not_selfdual_2026_02_26_08_13_08_11_1,15000,20,3.30292,0.0056,0.18056999314866148
591,hypergraph_not_selfdual_2026_02_26_08_12_02_11_1,15000,200,5.78742,0.0,inf
592,hypergraph_not_selfdual_2026_02_26_08_12_26_11_1,15000,20,3.22336,0.0007333333333333333,1.3489707146111622
593,hypergraph_not_selfdual_2026_02_26_08_13_22_11_2,15000,200,5.96838,0.0005333333333333334,3.4347594426828287
594,hypergraph_not_selfdual_2026_02_26_08_12_34_12_1,15000,5,3.6072999999999995,0.0010666666666666667,1.037710561235568
595,hypergraph_not_selfdual_2026_02_26_08_12_45_11_2,15000,20,3.0594799999999998,0.0006,1.5650220922213294
596,hypergraph_not_selfdual_2026_02_26_08_12_34_12_1,15000,200,6.44608,6.666666666666667e-05,29.68430591165471
597,hypergraph_not_selfdual_2026_02_26_08_13_27_11_1,15000,100,4.558680000000001,0.0,inf
598,hypergraph_not_selfdual_2026_02_26_08_13_27_11_1,15000,5,3.08464,0.0002666666666666667,3.550849509840533
599,hypergraph_not_selfdual_2026_02_26_08_12_57_11_2,15000,20,3.3299199999999995,0.0008666666666666666,1.179092480348356
600,hypergraph_not_selfdual_2026_02_26_08_11_55_10_2,15000,20,2.69658,0.0011333333333333334,0.7300689120355901
601,hypergraph_not_selfdual_2026_02_26_08_13_29_12_1,15000,20,3.8809200000000006,0.0009333333333333333,1.2759968124928138
602,hypergraph_not_selfdual_2026_02_26_08_12_40_12_1,15000,5,3.6448199999999997,0.0012,0.931941298446868
